# of model parameters: 11181642
--------------------- Training -------------------------------

Training Epoch: [1 | 200] LR: 0.001000
[epoch: 1] (701/938) | Loss: 0.1475 | top1: 95.9923 | top5: 99.8105 
[epoch: 1] (711/938) | Loss: 0.1473 | top1: 95.9916 | top5: 99.8110 
[epoch: 1] (721/938) | Loss: 0.1470 | top1: 96.0060 | top5: 99.8093 
[epoch: 1] (731/938) | Loss: 0.1466 | top1: 96.0264 | top5: 99.8119 
[epoch: 1] (741/938) | Loss: 0.1459 | top1: 96.0547 | top5: 99.8144 
[epoch: 1] (751/938) | Loss: 0.1448 | top1: 96.0927 | top5: 99.8169 
[epoch: 1] (761/938) | Loss: 0.1439 | top1: 96.1174 | top5: 99.8152 
[epoch: 1] (771/938) | Loss: 0.1428 | top1: 96.1515 | top5: 99.8176 
[epoch: 1] (781/938) | Loss: 0.1422 | top1: 96.1768 | top5: 99.8199 
[epoch: 1] (791/938) | Loss: 0.1411 | top1: 96.2054 | top5: 99.8222 
[epoch: 1] (801/938) | Loss: 0.1406 | top1: 96.2176 | top5: 99.8225 
[epoch: 1] (811/938) | Loss: 0.1394 | top1: 96.2546 | top5: 99.8247 
[epoch: 1] (821/938) | Loss: 0.1383 | top1: 96.2812 | top5: 99.8268 
[epoch: 1] (831/938) | Loss: 0.1376 | top1: 96.3072 | top5: 99.8289 
[epoch: 1] (841/938) | Loss: 0.1372 | top1: 96.3158 | top5: 99.8309 
[epoch: 1] (851/938) | Loss: 0.1368 | top1: 96.3242 | top5: 99.8329 
[epoch: 1] (861/938) | Loss: 0.1361 | top1: 96.3396 | top5: 99.8349 
[epoch: 1] (871/938) | Loss: 0.1356 | top1: 96.3584 | top5: 99.8368 
[epoch: 1] (881/938) | Loss: 0.1353 | top1: 96.3837 | top5: 99.8386 
[epoch: 1] (891/938) | Loss: 0.1347 | top1: 96.4050 | top5: 99.8404 
[epoch: 1] (901/938) | Loss: 0.1339 | top1: 96.4276 | top5: 99.8422 
[epoch: 1] (911/938) | Loss: 0.1333 | top1: 96.4548 | top5: 99.8439 
[epoch: 1] (921/938) | Loss: 0.1327 | top1: 96.4746 | top5: 99.8456 
[epoch: 1] (931/938) | Loss: 0.1318 | top1: 96.5024 | top5: 99.8473 

Training Epoch: [2 | 200] LR: 0.001000
[epoch: 2] (1/938) | Loss: 0.0272 | top1: 98.4375 | top5: 100.0000 
[epoch: 2] (11/938) | Loss: 0.0526 | top1: 98.7216 | top5: 100.0000 
[epoch: 2] (21/938) | Loss: 0.0572 | top1: 98.6607 | top5: 100.0000 
[epoch: 2] (31/938) | Loss: 0.0706 | top1: 98.6391 | top5: 99.9496 
[epoch: 2] (41/938) | Loss: 0.0663 | top1: 98.7805 | top5: 99.9619 
[epoch: 2] (51/938) | Loss: 0.0672 | top1: 98.7745 | top5: 99.9694 
[epoch: 2] (61/938) | Loss: 0.0642 | top1: 98.7449 | top5: 99.9744 
[epoch: 2] (71/938) | Loss: 0.0707 | top1: 98.7016 | top5: 99.9780 
[epoch: 2] (81/938) | Loss: 0.0771 | top1: 98.3025 | top5: 99.9807 
[epoch: 2] (91/938) | Loss: 0.0767 | top1: 98.1113 | top5: 99.9828 
[epoch: 2] (101/938) | Loss: 0.0792 | top1: 98.1281 | top5: 99.9845 
[epoch: 2] (111/938) | Loss: 0.0791 | top1: 98.0997 | top5: 99.9859 
[epoch: 2] (121/938) | Loss: 0.0790 | top1: 98.1147 | top5: 99.9871 
[epoch: 2] (131/938) | Loss: 0.0782 | top1: 98.1751 | top5: 99.9881 
[epoch: 2] (141/938) | Loss: 0.0784 | top1: 98.2602 | top5: 99.9889 
[epoch: 2] (151/938) | Loss: 0.0784 | top1: 98.2512 | top5: 99.9897 
[epoch: 2] (161/938) | Loss: 0.0783 | top1: 98.2725 | top5: 99.9903 
[epoch: 2] (171/938) | Loss: 0.0773 | top1: 98.3096 | top5: 99.9909 
[epoch: 2] (181/938) | Loss: 0.0773 | top1: 98.3339 | top5: 99.9914 
[epoch: 2] (191/938) | Loss: 0.0772 | top1: 98.3639 | top5: 99.9918 
[epoch: 2] (201/938) | Loss: 0.0760 | top1: 98.3909 | top5: 99.9922 
[epoch: 2] (211/938) | Loss: 0.0761 | top1: 98.4153 | top5: 99.9852 
[epoch: 2] (221/938) | Loss: 0.0763 | top1: 98.4021 | top5: 99.9859 
[epoch: 2] (231/938) | Loss: 0.0767 | top1: 98.3834 | top5: 99.9865 
[epoch: 2] (241/938) | Loss: 0.0773 | top1: 98.3856 | top5: 99.9870 
[epoch: 2] (251/938) | Loss: 0.0767 | top1: 98.3939 | top5: 99.9875 
[epoch: 2] (261/938) | Loss: 0.0766 | top1: 98.4076 | top5: 99.9880 
[epoch: 2] (271/938) | Loss: 0.0756 | top1: 98.4317 | top5: 99.9885 
[epoch: 2] (281/938) | Loss: 0.0746 | top1: 98.4653 | top5: 99.9889 
[epoch: 2] (291/938) | Loss: 0.0741 | top1: 98.4805 | top5: 99.9893 
[epoch: 2] (301/938) | Loss: 0.0755 | top1: 98.4583 | top5: 99.9896 
[epoch: 2] (311/938) | Loss: 0.0772 | top1: 98.4275 | top5: 99.9849 
[epoch: 2] (321/938) | Loss: 0.0782 | top1: 98.3401 | top5: 99.9805 
[epoch: 2] (331/938) | Loss: 0.0775 | top1: 98.3478 | top5: 99.9811 
[epoch: 2] (341/938) | Loss: 0.0767 | top1: 98.3688 | top5: 99.9817 
[epoch: 2] (351/938) | Loss: 0.0761 | top1: 98.3885 | top5: 99.9822 
[epoch: 2] (361/938) | Loss: 0.0758 | top1: 98.3985 | top5: 99.9827 
[epoch: 2] (371/938) | Loss: 0.0751 | top1: 98.4164 | top5: 99.9832 
[epoch: 2] (381/938) | Loss: 0.0756 | top1: 98.4293 | top5: 99.9836 
[epoch: 2] (391/938) | Loss: 0.0755 | top1: 98.4415 | top5: 99.9840 
[epoch: 2] (401/938) | Loss: 0.0750 | top1: 98.4531 | top5: 99.9844 
[epoch: 2] (411/938) | Loss: 0.0752 | top1: 98.4451 | top5: 99.9848 
[epoch: 2] (421/938) | Loss: 0.0762 | top1: 98.4189 | top5: 99.9814 
[epoch: 2] (431/938) | Loss: 0.0759 | top1: 98.4266 | top5: 99.9819 
[epoch: 2] (441/938) | Loss: 0.0762 | top1: 98.4446 | top5: 99.9823 
[epoch: 2] (451/938) | Loss: 0.0761 | top1: 98.4548 | top5: 99.9827 
[epoch: 2] (461/938) | Loss: 0.0758 | top1: 98.4748 | top5: 99.9797 
