# of model parameters: 8867442
--------------------- Training -------------------------------
Training Epoch: [1 | 1] LR: 0.001000
[epoch: 1] (71/1563) | Loss: 2.0462 | top1: 27.6849 | top5: 71.9190
[epoch: 1] (72/1563) | Loss: 2.0427 | top1: 27.6476 | top5: 72.1354
[epoch: 1] (73/1563) | Loss: 2.0396 | top1: 27.7397 | top5: 72.3031
[epoch: 1] (74/1563) | Loss: 2.0371 | top1: 27.7872 | top5: 72.3395
[epoch: 1] (75/1563) | Loss: 2.0366 | top1: 27.8750 | top5: 72.4583
[epoch: 1] (76/1563) | Loss: 2.0322 | top1: 28.0016 | top5: 72.8207
[epoch: 1] (77/1563) | Loss: 2.0310 | top1: 28.0844 | top5: 72.8896
[epoch: 1] (78/1563) | Loss: 2.0289 | top1: 28.0849 | top5: 73.0369
[epoch: 1] (79/1563) | Loss: 2.0259 | top1: 28.2832 | top5: 73.1408
[epoch: 1] (80/1563) | Loss: 2.0224 | top1: 28.5938 | top5: 73.3594
[epoch: 1] (81/1563) | Loss: 2.0212 | top1: 28.6265 | top5: 73.5340
[epoch: 1] (82/1563) | Loss: 2.0192 | top1: 28.8872 | top5: 73.5899
[epoch: 1] (83/1563) | Loss: 2.0180 | top1: 28.9157 | top5: 73.7199
[epoch: 1] (84/1563) | Loss: 2.0153 | top1: 29.0551 | top5: 73.8467
[epoch: 1] (85/1563) | Loss: 2.0105 | top1: 29.3750 | top5: 74.0809
[epoch: 1] (86/1563) | Loss: 2.0096 | top1: 29.4695 | top5: 74.2733
[epoch: 1] (87/1563) | Loss: 2.0020 | top1: 29.8851 | top5: 74.5330
[epoch: 1] (88/1563) | Loss: 1.9998 | top1: 29.9006 | top5: 74.6449
[epoch: 1] (89/1563) | Loss: 1.9972 | top1: 30.0211 | top5: 74.7542
[epoch: 1] (90/1563) | Loss: 1.9945 | top1: 30.1736 | top5: 74.9306
[epoch: 1] (91/1563) | Loss: 1.9961 | top1: 30.0824 | top5: 74.9657
[epoch: 1] (92/1563) | Loss: 1.9939 | top1: 30.1630 | top5: 75.0340
[epoch: 1] (93/1563) | Loss: 1.9932 | top1: 30.2083 | top5: 75.1008
[epoch: 1] (94/1563) | Loss: 1.9887 | top1: 30.3856 | top5: 75.2992
[epoch: 1] (95/1563) | Loss: 1.9875 | top1: 30.3618 | top5: 75.4276
[epoch: 1] (96/1563) | Loss: 1.9890 | top1: 30.3711 | top5: 75.4557
[epoch: 1] (97/1563) | Loss: 1.9861 | top1: 30.4446 | top5: 75.6443
[epoch: 1] (98/1563) | Loss: 1.9857 | top1: 30.6122 | top5: 75.8291
[epoch: 1] (99/1563) | Loss: 1.9839 | top1: 30.7134 | top5: 75.9470
[epoch: 1] (100/1563) | Loss: 1.9803 | top1: 30.7812 | top5: 76.0312
[epoch: 1] (101/1563) | Loss: 1.9793 | top1: 30.7859 | top5: 76.1139
[epoch: 1] (102/1563) | Loss: 1.9785 | top1: 30.7598 | top5: 76.1949
[epoch: 1] (103/1563) | Loss: 1.9750 | top1: 30.8859 | top5: 76.3046
[epoch: 1] (104/1563) | Loss: 1.9733 | top1: 30.9495 | top5: 76.3822
[epoch: 1] (105/1563) | Loss: 1.9688 | top1: 31.0417 | top5: 76.5179
[epoch: 1] (106/1563) | Loss: 1.9676 | top1: 31.1910 | top5: 76.5035
[epoch: 1] (107/1563) | Loss: 1.9629 | top1: 31.2208 | top5: 76.6355
[epoch: 1] (108/1563) | Loss: 1.9630 | top1: 31.2789 | top5: 76.7361
[epoch: 1] (109/1563) | Loss: 1.9602 | top1: 31.4220 | top5: 76.8922
[epoch: 1] (110/1563) | Loss: 1.9590 | top1: 31.4489 | top5: 76.9886
[epoch: 1] (111/1563) | Loss: 1.9599 | top1: 31.5597 | top5: 76.9989
[epoch: 1] (112/1563) | Loss: 1.9577 | top1: 31.6406 | top5: 77.0647
[epoch: 1] (113/1563) | Loss: 1.9567 | top1: 31.6925 | top5: 77.2124
[epoch: 1] (114/1563) | Loss: 1.9559 | top1: 31.7434 | top5: 77.3300
[epoch: 1] (115/1563) | Loss: 1.9588 | top1: 31.6848 | top5: 77.3370
[epoch: 1] (116/1563) | Loss: 1.9582 | top1: 31.6272 | top5: 77.3707
[epoch: 1] (117/1563) | Loss: 1.9562 | top1: 31.6506 | top5: 77.4840
[epoch: 1] (118/1563) | Loss: 1.9538 | top1: 31.6472 | top5: 77.4629
[epoch: 1] (119/1563) | Loss: 1.9520 | top1: 31.6964 | top5: 77.4685
[epoch: 1] (120/1563) | Loss: 1.9489 | top1: 31.6406 | top5: 77.5521
[epoch: 1] (121/1563) | Loss: 1.9473 | top1: 31.7665 | top5: 77.6085
[epoch: 1] (122/1563) | Loss: 1.9449 | top1: 31.8391 | top5: 77.6895
[epoch: 1] (123/1563) | Loss: 1.9440 | top1: 31.8089 | top5: 77.7947
[epoch: 1] (124/1563) | Loss: 1.9446 | top1: 31.7792 | top5: 77.8730
[epoch: 1] (125/1563) | Loss: 1.9433 | top1: 31.8250 | top5: 77.8500
[epoch: 1] (126/1563) | Loss: 1.9415 | top1: 31.8204 | top5: 77.9514
[epoch: 1] (127/1563) | Loss: 1.9406 | top1: 31.7913 | top5: 78.0020
[epoch: 1] (128/1563) | Loss: 1.9431 | top1: 31.6895 | top5: 78.0029
[epoch: 1] (129/1563) | Loss: 1.9407 | top1: 31.7103 | top5: 78.0766
[epoch: 1] (130/1563) | Loss: 1.9401 | top1: 31.6587 | top5: 78.1971
[epoch: 1] (131/1563) | Loss: 1.9384 | top1: 31.6317 | top5: 78.2920
[epoch: 1] (132/1563) | Loss: 1.9386 | top1: 31.5578 | top5: 78.3144
[epoch: 1] (133/1563) | Loss: 1.9406 | top1: 31.4145 | top5: 78.3130
[epoch: 1] (134/1563) | Loss: 1.9402 | top1: 31.4132 | top5: 78.3349
[epoch: 1] (135/1563) | Loss: 1.9389 | top1: 31.4815 | top5: 78.3333
